sample,meth_prop
S1,0.1733407315296927
S10,0.1811443085355257
S11,0.1048827397940191
S12,0.19228987118895377
S15,0.22423443587225203
S16,0.2075205711782286
S17,0.22008638666740282
S18,0.1772500828780716
S19,0.13723845543829682
S2,0.16644926739063245
S20,0.1289417336322644
S21,0.16088833950003759
S22,0.1469214995530785
S24,0.18027656063278893
S25,0.14773758298224024
S26,0.15984383960474657
S27,0.1295101443977335
S28,0.1530092286787325
S29,0.15794709398237572
S3,0.19884049661935077
S30,0.1936675691566195
S31,0.26748697312077596
S32,0.3206061743455006
S33,0.3264426827733736
S34,0.401747366318251
S35,0.26790518638573746
S36,0.33686220865301375
S4,0.285224668563497
S5,0.20651886967315783
S6,0.28663025753350635
S7,0.1122744595598136
S8,0.16611037337448709
S9,0.2859377418142424
